iter	Passed	Remaining
297	1059	2495
298	1063	2492
299	1066	2488
300	1069	2484
301	1072	2479
302	1076	2476
303	1080	2473
304	1083	2469
305	1086	2464
306	1090	2460
307	1093	2457
308	1097	2454
309	1100	2449
310	1103	2445
311	1107	2441
312	1111	2439
313	1115	2436
314	1118	2432
315	1121	2428
316	1125	2423
317	1128	2419
318	1131	2415
319	1134	2410
320	1137	2407
321	1141	2403
322	1145	2400
323	1148	2395
324	1151	2391
325	1155	2388
326	1158	2385
327	1162	2381
328	1165	2377
329	1168	2373
330	1172	2370
331	1176	2367
332	1180	2363
333	1183	2360
334	1186	2355
335	1190	2352
336	1193	2348
337	1197	2345
338	1200	2340
339	1204	2337
340	1207	2333
341	1210	2329
342	1213	2325
343	1217	2320
344	1220	2317
345	1224	2314
346	1227	2310
347	1230	2305
348	1234	2302
349	1238	2299
350	1241	2295
351	1245	2292
352	1248	2288
353	1252	2285
354	1255	2282
355	1259	2278
356	1262	2273
357	1266	2270
358	1270	2268
359	1274	2265
360	1277	2261
361	1280	2256
362	1283	2253
363	1287	2249
364	1291	2246
365	1294	2241
366	1297	2238
367	1301	2235
368	1305	2232
369	1308	2228
370	1311	2224
371	1315	2220
372	1318	2216
373	1322	2213
374	1326	2210
375	1329	2206
376	1332	2202
377	1336	2198
378	1339	2194
379	1342	2190
380	1345	2186
381	1349	2182
382	1352	2178
383	1355	2174
384	1358	2170
385	1361	2166
386	1365	2163
387	1369	2160
388	1372	2156
389	1376	2152
390	1379	2148
391	1383	2145
392	1386	2142
393	1390	2138
394	1393	2134
395	1396	2130
396	1401	2128
397	1404	2123
398	1407	2119
399	1410	2115
400	1415	2113
401	1418	2110
402	1422	2107
403	1425	2102
404	1428	2098
405	1432	2095
406	1436	2092
407	1439	2088
408	1442	2084
409	1447	2082
410	1450	2079
411	1454	2075
412	1457	2071
413	1460	2067
414	1465	2065
415	1468	2061
416	1472	2058
417	1475	2054
418	1479	2051
419	1482	2047
420	1485	2043
421	1489	2040
422	1493	2036
423	1496	2033
424	1500	2030
425	1503	2026
426	1506	2022
427	1510	2018
428	1513	2014
429	1517	2011
430	1521	2008
431	1524	2004
432	1528	2001
433	1532	1999
434	1536	1995
435	1539	1991
436	1542	1987
437	1546	1984
438	1549	1979
439	1552	1975
440	1555	1972
441	1559	1968
442	1563	1965
443	1566	1961
444	1569	1957
445	1573	1954
446	1577	1951
447	1580	1947
448	1583	1943
449	1586	1939
450	1590	1935
451	1594	1933
452	1598	1929
453	1601	1925
454	1604	1922
455	1608	1919
456	1612	1915
457	1615	1912
458	1619	1908
459	1622	1904
460	1626	1901
461	1630	1898
462	1634	1895
463	1637	1891
464	1640	1887
465	1644	1884
466	1648	1881
467	1651	1877
468	1655	1874
469	1658	1870
470	1661	1866
471	1665	1862
472	1668	1859
473	1672	1855
474	1676	1852
475	1679	1848
476	1682	1845
477	1686	1841
478	1690	1838
479	1694	1835
480	1697	1831
481	1700	1827
482	1704	1824
483	1707	1820
484	1711	1817
485	1714	1813
486	1718	1810
487	1722	1807
488	1726	1803
489	1729	1800
490	1733	1796
491	1736	1793
492	1740	1789
493	1743	1786
494	1747	1782
495	1750	1778
496	1753	1775
497	1757	1771
498	1760	1767
499	1763	1763
500	1766	1759
501	1770	1756
502	1774	1752
503	1777	1748
504	1780	1745
505	1783	1741
506	1787	1738
507	1791	1734
508	1794	1730
509	1797	1726
510	1801	1723
511	1804	1720
512	1808	1716
513	1811	1712
514	1815	1709
515	1819	1706
516	1822	1702
517	1825	1698
518	1828	1694
519	1831	1690
520	1835	1687
521	1839	1684
522	1842	1680
523	1846	1677
524	1849	1673
525	1853	1669
526	1856	1666
527	1859	1662
528	1863	1658
529	1867	1655
530	1870	1652
531	1873	1648
532	1876	1644
533	1880	1640
534	1884	1637
535	1888	1634
536	1891	1630
537	1894	1627
538	1899	1624
539	1903	1621
540	1906	1617
541	1910	1614
542	1914	1611
543	1919	1608
544	1922	1605
545	1926	1601
546	1931	1599
547	1935	1596
548	1938	1592
549	1942	1589
550	1947	1587
551	1953	1585
552	1957	1581
553	1961	1579
554	1965	1576
555	1969	1572
556	1972	1569
557	1976	1565
558	1981	1563
559	1985	1559
560	1988	1556
561	1992	1552
562	1998	1550
563	2002	1548
564	2006	1544
565	2012	1542
566	2016	1539
567	2019	1536
568	2023	1533
569	2028	1530
570	2032	1526
571	2036	1523
572	2040	1520
573	2044	1517
574	2049	1514
575	2053	1511
576	2057	1508
577	2061	1505
578	2065	1501
579	2069	1498
580	2073	1495
581	2077	1492
582	2082	1489
583	2086	1485
584	2090	1482
585	2094	1479
586	2098	1476
587	2101	1472
588	2105	1469
589	2110	1466
590	2114	1463
591	2117	1459
592	2121	1456
593	2125	1452
594	2128	1448
595	2132	1445
596	2135	1441
597	2139	1438
598	2143	1434
599	2146	1431
600	2149	1427
601	2152	1423
602	2157	1420
603	2161	1416
604	2164	1413
605	2167	1409
606	2171	1405
607	2175	1402
608	2178	1398
609	2181	1394
610	2184	1390
611	2188	1387
612	2192	1384
613	2195	1380
614	2198	1376
615	2202	1373
616	2207	1370
617	2210	1366
618	2214	1362
619	2217	1359
620	2221	1355
621	2224	1352
622	2227	1348
623	2231	1344
624	2234	1340
625	2238	1337
626	2242	1333
627	2245	1329
628	2248	1325
629	2251	1322
630	2255	1319
631	2258	1315
632	2261	1311
633	2265	1307
634	2268	1304
635	2272	1300
636	2276	1297
637	2279	1293
638	2282	1289
639	2286	1286
640	2290	1282
641	2293	1278
642	2296	1275
643	2300	1271
644	2304	1268
645	2307	1264
646	2310	1260
647	2314	1257
648	2318	1253
649	2322	1250
650	2325	1246
651	2328	1242
652	2332	1239
653	2336	1235
654	2339	1232
655	2342	1228
656	2345	1224
657	2349	1221
658	2353	1217
659	2357	1214
660	2360	1210
661	2363	1206
662	2367	1203
663	2370	1199
664	2374	1196
665	2377	1192
666	2381	1189
667	2385	1185
668	2389	1182
669	2392	1178
670	2395	1174
671	2398	1170
672	2402	1167
673	2405	1163
674	2409	1160
675	2413	1156
676	2417	1153
677	2420	1149
678	2424	1146
679	2427	1142
680	2431	1138
681	2434	1135
682	2437	1131
683	2440	1127
684	2443	1123
685	2447	1120
686	2451	1116
687	2454	1112
688	2457	1109
689	2460	1105
690	2465	1102
691	2468	1098
692	2472	1095
693	2475	1091
694	2480	1088
695	2483	1084
696	2486	1080
697	2489	1077
698	2493	1073
699	2497	1070
700	2500	1066
701	2503	1062
702	2507	1059
703	2511	1055
704	2514	1052
705	2517	1048
706	2521	1044
707	2524	1041
708	2528	1037
709	2531	1034
710	2534	1030
711	2537	1026
712	2541	1022
713	2545	1019
714	2548	1015
715	2551	1012
716	2554	1008
717	2558	1004
718	2562	1001
719	2565	997
720	2569	994
721	2572	990
722	2576	987
723	2580	983
724	2583	980
725	2586	976
726	2591	973
727	2594	969
728	2597	965
729	2601	962
730	2604	958
731	2608	955
732	2611	951
733	2614	947
734	2618	944
735	2621	940
736	2625	936
737	2629	933
738	2632	929
739	2635	926
740	2639	922
741	2643	919
742	2646	915
743	2650	911
744	2653	908
745	2657	904
746	2660	900
747	2663	897
748	2666	893
749	2669	889
750	2673	886
751	2677	883
752	2680	879
753	2683	875
754	2686	871
755	2690	868
756	2693	864
757	2697	861
758	2700	857
759	2704	854
760	2708	850
761	2711	847
762	2714	843
763	2718	839
764	2723	836
765	2726	832
766	2729	829
767	2733	825
768	2738	822
769	2741	818
770	2744	815
771	2747	811
772	2751	808
773	2755	804
774	2758	800
775	2761	797
776	2764	793
777	2768	790
778	2772	786
779	2776	782
780	2779	779
781	2782	775
782	2786	772
783	2789	768
784	2792	764
785	2796	761
786	2800	757
787	2804	754
788	2807	750
789	2810	747
790	2814	743
791	2818	740
792	2821	736
793	2824	732
794	2828	729
795	2831	725
796	2835	722
797	2838	718
798	2841	714
799	2844	711
800	2849	707
801	2852	704
802	2856	700
803	2859	697
804	2862	693
805	2866	689
806	2869	686
807	2872	682
808	2875	678
809	2879	675
810	2884	672
811	2888	668
812	2890	664
813	2893	661
814	2897	657
815	2900	654
816	2904	650
817	2907	646
818	2910	643
819	2915	639
820	2918	636
821	2921	632
822	2925	629
823	2928	625
824	2932	622
825	2935	618
826	2939	614
827	2942	611
828	2947	607
829	2950	604
830	2953	600
831	2956	597
832	2960	593
833	2964	590
834	2967	586
835	2970	582
836	2973	579
837	2977	575
838	2982	572
839	2985	568
840	2989	565
841	2993	561
842	2996	558
843	3000	554
844	3003	550
845	3006	547
846	3010	543
847	3013	540
848	3016	536
849	3020	532
850	3023	529
851	3027	525
852	3030	522
853	3033	518
854	3037	515
855	3040	511
856	3045	508
857	3048	504
858	3052	500
859	3055	497
860	3059	493
861	3063	490
862	3066	486
863	3069	483
864	3073	479
865	3077	476
866	3080	472
867	3083	468
868	3087	465
869	3091	461
870	3095	458
871	3098	454
872	3100	451
873	3104	447
874	3108	444
875	3111	440
876	3114	436
877	3118	433
878	3121	429
879	3125	426
880	3128	422
881	3131	419
882	3135	415
883	3139	411
884	3143	408
885	3146	404
886	3149	401
887	3152	397
888	3156	394
889	3160	390
890	3163	387
891	3166	383
892	3170	379
893	3174	376
894	3177	372
895	3180	369
896	3183	365
897	3188	362
898	3192	358
899	3195	355
900	3198	351
901	3202	347
902	3206	344
903	3209	340
904	3212	337
905	3215	333
906	3220	330
907	3223	326
908	3226	323
909	3230	319
910	3233	315
911	3238	312
912	3242	308
913	3245	305
914	3248	301
915	3253	298
916	3256	294
917	3260	291
918	3263	287
919	3267	284
920	3271	280
921	3274	277
922	3277	273
923	3280	269
924	3284	266
925	3288	262
926	3292	259
927	3295	255
928	3298	252
929	3302	248
930	3306	245
931	3309	241
932	3312	237
933	3316	234
934	3319	230
935	3323	227
936	3326	223
937	3329	220
938	3333	216
939	3336	212
940	3340	209
941	3343	205
942	3346	202
943	3350	198
944	3354	195
945	3357	191
946	3360	188
947	3364	184
948	3368	181
949	3371	177
950	3374	173
951	3378	170
952	3381	166
953	3385	163
954	3388	159
955	3391	156
956	3395	152
957	3399	149
958	3403	145
959	3406	141
960	3409	138
961	3413	134
962	3417	131
963	3419	127
964	3422	124
965	3426	120
966	3430	117
967	3433	113
968	3436	109
969	3439	106
970	3443	102
971	3447	99
972	3450	95
973	3453	92
974	3456	88
975	3460	85
976	3463	81
977	3467	77
978	3470	74
979	3473	70
980	3477	67
981	3481	63
982	3484	60
983	3487	56
984	3491	53
985	3495	49
986	3499	46
987	3502	42
988	3506	38
989	3510	35
990	3514	31
991	3517	28
992	3520	24
993	3523	21
994	3528	17
995	3532	14
996	3535	10
997	3538	7
998	3543	3
999	3546	0
