iter	Logloss
117	0.5342633057
118	0.533852005
119	0.5331824112
120	0.5325179291
121	0.5316571808
122	0.5309737396
123	0.5304342651
124	0.5298842239
125	0.5293863297
126	0.5288990784
127	0.5280835342
128	0.527517128
129	0.5269565964
130	0.5263686371
131	0.5258360291
132	0.5253440857
133	0.5247913361
134	0.5243256378
135	0.5238034439
136	0.5234673691
137	0.5226721954
138	0.5220134354
139	0.5215203476
140	0.5209009552
141	0.5204142761
142	0.5199736786
143	0.5194137955
144	0.5188723373
145	0.5184181213
146	0.5179020691
147	0.5172264099
148	0.5167533493
149	0.5162900543
150	0.5158989334
151	0.5154427719
152	0.5147331238
153	0.5142323303
154	0.5134485245
155	0.512921257
156	0.5124668121
157	0.5120710754
158	0.5114828491
159	0.5110388947
160	0.5107872391
161	0.5102412033
162	0.5096974945
163	0.5091983795
164	0.5089230347
165	0.5085234833
166	0.5081103516
167	0.5077106094
168	0.5073154449
169	0.5070079803
170	0.5065273285
171	0.5059654236
172	0.5054363251
173	0.5048536682
174	0.5044955063
175	0.503862381
176	0.5036395264
177	0.503249588
178	0.5027682114
179	0.5024591446
180	0.5020204163
181	0.5017297363
182	0.5012194061
183	0.5008637238
184	0.5006542969
185	0.500324173
186	0.4998054123
187	0.4993053436
188	0.4990050888
189	0.4983998108
190	0.4982078171
191	0.4979315948
192	0.497545166
193	0.4972098923
194	0.4968338776
195	0.4964439392
196	0.4961447144
197	0.4957976532
198	0.4953785706
199	0.4949681473
200	0.4947154236
201	0.4944145203
202	0.4940113831
203	0.4934743881
204	0.4930361938
205	0.4926548767
206	0.4923777771
207	0.4918544769
208	0.4915069962
209	0.4911418152
210	0.4908778763
211	0.4903381729
212	0.4899701309
213	0.4896369553
214	0.4893021011
215	0.4890966415
216	0.4887771606
217	0.4884580994
218	0.488090477
219	0.4878410339
220	0.4874777222
221	0.4871133423
222	0.4868908691
223	0.4865719604
224	0.486333847
225	0.4859423828
226	0.4857084656
227	0.4855351257
228	0.4851322174
229	0.4847163391
230	0.4845424652
231	0.484256134
232	0.4839469147
233	0.4836176682
234	0.4833350372
235	0.4829232407
236	0.4827490234
237	0.4824790573
238	0.4821941757
239	0.4818473434
240	0.4814897537
241	0.4810196304
242	0.4808010864
243	0.4805120087
244	0.4802839279
245	0.479820137
246	0.4794325256
247	0.4791386414
248	0.4788297653
249	0.4786204529
250	0.4783298492
251	0.4779660034
252	0.4777045441
253	0.4773680115
254	0.4770954132
255	0.4767998505
256	0.4765882111
257	0.4762937927
258	0.475874176
259	0.4755785751
260	0.475194931
261	0.4750395203
262	0.4748352051
263	0.4746337891
264	0.4744818878
265	0.4741188049
266	0.4737438202
267	0.4736014175
268	0.4733125305
269	0.473154335
270	0.4730303192
271	0.4726036835
272	0.4723513031
273	0.4721479034
274	0.4718618774
275	0.4716495514
276	0.4712835312
277	0.4709039688
278	0.4706848145
279	0.4704994583
280	0.4702243805
281	0.469991951
282	0.4696224976
283	0.4694058228
284	0.4690081787
285	0.4688031006
286	0.4685822678
287	0.4682246399
288	0.4679603577
289	0.4677599716
290	0.4674925995
291	0.4672984314
292	0.4670331192
293	0.4667347717
294	0.4665776443
295	0.4661984634
296	0.4660475159
297	0.4658007431
298	0.4655574036
299	0.4654078293
300	0.4651338959
301	0.4648785782
302	0.4646855164
303	0.4645769501
304	0.464395256
305	0.464212265
306	0.4639891815
307	0.4637653351
308	0.4634188461
309	0.463221817
310	0.4628836823
311	0.4626008606
312	0.4622127533
313	0.4619735336
314	0.4618088913
315	0.4615473175
316	0.4613253403
317	0.4609129333
318	0.4608169556
319	0.4606837845
320	0.4604269791
321	0.4601110458
322	0.4598650742
323	0.4595333099
324	0.4593646622
325	0.4591537094
326	0.4589512634
327	0.4586462402
328	0.4583595276
329	0.4580088043
330	0.4577944565
331	0.4576919556
332	0.4574339676
333	0.4572579193
334	0.4571059418
335	0.4567924881
336	0.4565673828
337	0.4563461304
338	0.4560983658
339	0.4558094025
340	0.4555770111
341	0.455252533
342	0.4550976944
343	0.4549345398
344	0.4547312164
345	0.4544076538
346	0.454037056
347	0.4538316345
348	0.4533745575
349	0.4532343674
350	0.4530074692
351	0.4527907562
352	0.4526417542
353	0.4525139618
354	0.4523506165
355	0.4521871948
356	0.4519417191
357	0.451543808
358	0.4512265778
359	0.4510232925
360	0.4507064056
361	0.4505656052
362	0.4502910614
363	0.4501300812
364	0.4498402023
365	0.4493507004
366	0.4491960144
367	0.4489690781
368	0.4487756348
369	0.4484951019
370	0.4483573532
371	0.4481378937
372	0.4480167389
373	0.4477844238
374	0.4475118637
375	0.4473351669
376	0.4471686554
377	0.4470164871
378	0.4468835831
379	0.4467715454
380	0.4465968704
381	0.4464389801
382	0.4461564255
383	0.4458519745
384	0.4455228806
385	0.4453094482
386	0.4451735687
387	0.4447687531
388	0.4445727539
389	0.4442344666
390	0.4439521027
391	0.4437667847
392	0.443561058
393	0.4433763123
394	0.4431005859
395	0.4429273224
396	0.4425588989
397	0.4423865509
398	0.4422666931
399	0.4419797134
400	0.4418297958
401	0.4416075134
402	0.4414608383
403	0.4412420654
404	0.441027298
405	0.440724411
406	0.4404851151
407	0.4403229141
408	0.4401033783
409	0.4398615646
410	0.4397108459
411	0.4394911194
412	0.4393577576
413	0.4391140747
414	0.438835907
415	0.438653717
416	0.4384887695
417	0.4382027435
418	0.4381145477
419	0.4378267288
420	0.4375264359
421	0.4372628403
422	0.4369888306
423	0.4368321609
424	0.4366207504
425	0.436450882
426	0.4362911224
427	0.4361301422
428	0.4358670425
429	0.4356253433
430	0.4353807068
431	0.4351752853
432	0.4349633026
433	0.4348392487
434	0.4345969772
435	0.4343963623
436	0.4341649628
437	0.4339878082
438	0.4335467911
439	0.4334508514
440	0.433240509
441	0.4330052185
442	0.4326793671
443	0.4325212097
444	0.4323944092
445	0.4321846008
446	0.4320808029
447	0.4319600677
448	0.4317370605
449	0.4315634918
450	0.431411438
451	0.4311845779
452	0.4310059357
453	0.4308526611
454	0.430467453
455	0.4302571106
456	0.430089798
457	0.4298693848
458	0.4297146606
459	0.4294363403
460	0.4291342926
461	0.4289420319
462	0.4288183975
463	0.4286581421
464	0.4283873749
465	0.4282149506
466	0.4280255127
467	0.4278064346
468	0.4275870895
469	0.4273997498
470	0.4271749115
471	0.4268294144
472	0.4264488602
473	0.4262909698
474	0.4261026001
475	0.4258727264
476	0.4256109619
477	0.4255004883
478	0.4253918076
479	0.4252204895
480	0.4250040436
481	0.4247399902
482	0.4243917084
483	0.4242615509
484	0.4240332794
485	0.4238327026
486	0.4237004471
487	0.4235502625
488	0.4234237671
489	0.4232517624
490	0.4230456543
491	0.422853508
492	0.422652359
493	0.4223879623
494	0.4221976852
495	0.4220409012
496	0.4219700241
497	0.4216700363
498	0.4214756012
499	0.421328392
500	0.4210839844
501	0.4209422684
502	0.4206926727
503	0.4204355621
504	0.4202305603
505	0.4200588989
506	0.4198377991
507	0.4196424103
508	0.4192595291
509	0.4190325546
510	0.4189115143
511	0.418657341
512	0.4184744263
513	0.4183602905
514	0.4181633759
515	0.4180928802
516	0.4179177475
517	0.4177754211
518	0.417587738
519	0.4174037933
520	0.4172119522
521	0.4169431305
522	0.4167792892
523	0.416604538
524	0.4164773178
525	0.4163237762
526	0.4161691284
527	0.4158860016
528	0.4156764221
529	0.4155272675
530	0.4152984619
531	0.4151522446
532	0.4148023224
533	0.4143889999
534	0.4142502213
535	0.4140400696
536	0.4137837982
537	0.4135177231
538	0.4132743454
539	0.4131634521
540	0.4129223633
541	0.4126682663
542	0.4125933838
543	0.4124572754
544	0.4121958542
545	0.4120774078
546	0.4119662476
547	0.4117580414
548	0.4115969849
549	0.4114382172
550	0.4112584305
551	0.4111019897
552	0.4109710693
553	0.41068367
554	0.410512085
555	0.4101972198
556	0.4100637054
557	0.4099497604
558	0.4097583389
559	0.4095107269
560	0.4094015503
561	0.4092951584
562	0.4091854095
563	0.4090840149
564	0.4088036728
565	0.4085837555
566	0.4083525085
567	0.4081511688
568	0.408083992
569	0.4079562378
570	0.4078255463
571	0.4077332306
572	0.4076654816
573	0.4074466324
574	0.4072167969
575	0.4071242905
576	0.4070397186
577	0.4069321442
578	0.406668129
579	0.4064419556
580	0.4062879944
581	0.4062123108
582	0.4060242462
583	0.4057608032
584	0.4056207657
585	0.4054426193
586	0.4053426361
587	0.405198288
588	0.4050601959
589	0.404904213
590	0.4046925354
591	0.4045653534
592	0.4044623184
593	0.4041762161
594	0.4041292572
595	0.4039680481
596	0.4037076187
597	0.403563385
598	0.4033588409
599	0.4032261658
600	0.4031126785
601	0.4029870605
602	0.402824707
603	0.4026197815
604	0.4024674988
605	0.4023646164
606	0.4022159195
607	0.4020355988
608	0.4019490814
609	0.4017708969
610	0.4016326141
611	0.4014640808
612	0.4012641907
613	0.4010875702
614	0.4009289551
615	0.4006018829
616	0.4003295135
617	0.400096283
618	0.3998996353
619	0.3996686554
620	0.3994950867
621	0.3991915894
622	0.3990291595
623	0.3988841248
624	0.3987303925
625	0.3986310196
626	0.3983318329
627	0.3980848694
628	0.3978925705
629	0.3976676941
630	0.3974115372
631	0.3972693634
632	0.3970279312
633	0.3969073105
634	0.3968137741
635	0.3967638779
636	0.3965816498
637	0.3963348007
638	0.3961579132
639	0.3959423828
640	0.3957636261
641	0.3956969833
642	0.3956623459
643	0.3955356598
644	0.3952852631
645	0.3950896072
646	0.3949147797
647	0.39479599
648	0.394617157
649	0.394509201
650	0.3942843628
651	0.3941791534
652	0.3940312195
653	0.3938883591
654	0.3937800217
655	0.3936991882
656	0.3934850693
657	0.3930828476
658	0.392876358
659	0.3927000427
660	0.3924823761
661	0.3922172165
662	0.3919951248
663	0.3917581558
664	0.3916544342
665	0.3914302826
666	0.3912593079
667	0.3911471176
668	0.3910175705
669	0.3908112717
670	0.3906229401
671	0.3905044556
672	0.3904116058
673	0.3902771759
674	0.3900965118
675	0.3898936844
676	0.3896762085
677	0.3894069672
678	0.3891729736
679	0.388923378
680	0.3886925888
681	0.3883522034
682	0.3880686951
683	0.3878545761
684	0.3876755142
685	0.387509613
686	0.3871835327
687	0.3870077515
688	0.3868239594
689	0.3866709137
690	0.3864855194
691	0.3863424683
692	0.3861225128
693	0.3859793854
694	0.3858374023
695	0.3857040405
696	0.3854487228
697	0.3853613281
698	0.3851446533
699	0.3849354553
700	0.3847432327
701	0.3845928574
702	0.384468689
703	0.3842890167
704	0.3840454102
705	0.383872757
706	0.3836885071
707	0.3835116196
708	0.3832946777
709	0.3830989838
710	0.3829655075
711	0.3827786255
712	0.3826377487
713	0.3824530411
714	0.3823488617
715	0.382194252
716	0.3820417023
717	0.3819091797
718	0.3816165543
719	0.3815037155
720	0.3813652039
721	0.3811938858
722	0.3809528732
723	0.3808237457
724	0.3805791092
725	0.380402298
726	0.3802641678
727	0.3801549911
728	0.3800403595
729	0.3799156189
730	0.3797230911
731	0.3796170044
732	0.3794038391
733	0.3793532181
734	0.3792374802
735	0.3790562057
736	0.3789781952
737	0.378763504
738	0.378425827
739	0.3782626343
740	0.3781388855
741	0.3777697372
742	0.3775531006
743	0.3773368835
744	0.3770829773
745	0.3770262909
746	0.3767952728
747	0.3764947128
748	0.3763314819
749	0.3762224579
750	0.3760241318
751	0.3758192825
752	0.3757248306
753	0.3755834579
754	0.3753660583
755	0.3751135254
756	0.374995079
757	0.3749108887
758	0.374730072
759	0.3745949554
760	0.3744134903
761	0.3741714096
762	0.3739970398
763	0.3737968063
764	0.373635025
765	0.3734550095
766	0.3731906128
767	0.3730760574
768	0.3727700043
769	0.3726124191
770	0.3724872208
771	0.372438736
772	0.3723341751
773	0.372197113
774	0.3720513153
775	0.3718982315
776	0.3718353271
777	0.3716144562
778	0.3714377975
779	0.3710676575
780	0.3708296967
781	0.370535202
782	0.3703398132
783	0.3701954269
784	0.370039711
785	0.3697586441
786	0.3696492004
787	0.3695373154
788	0.3693757248
789	0.3691717529
790	0.369000473
791	0.3688261795
792	0.3686465073
793	0.3683226013
794	0.3682040405
795	0.368028717
796	0.367763176
797	0.3675557709
798	0.3673384857
799	0.3670904922
800	0.3668947983
801	0.3667264938
802	0.3666088867
803	0.3663613892
804	0.3661753082
805	0.3660542297
806	0.3657594299
807	0.3656020355
808	0.3652874756
809	0.3650881577
810	0.3649511719
811	0.3648890305
812	0.3647658157
813	0.3646496201
814	0.3644983673
815	0.36434021
816	0.364224205
817	0.3639570236
818	0.3637560654
819	0.3636482239
820	0.3635722351
821	0.3631840515
822	0.3628483582
823	0.3627090836
824	0.3625980377
825	0.3625444794
826	0.3622798538
827	0.3620354843
828	0.3618489838
829	0.3616599274
830	0.3615653992
831	0.3613542175
832	0.3612109756
833	0.3610640717
834	0.3607561874
835	0.3605716324
836	0.360227623
837	0.360116272
838	0.3600289917
839	0.3597955704
840	0.3596815109
841	0.3594782639
842	0.3594048309
843	0.3591428757
844	0.3590631104
845	0.3589078522
846	0.3587152863
847	0.3583877182
848	0.3582675171
849	0.3580162811
850	0.3578849411
851	0.3577157211
852	0.3576327896
853	0.3575432587
854	0.3574672318
855	0.3573438644
856	0.357261734
857	0.3569808197
858	0.3568438721
859	0.3566540146
860	0.3565066147
861	0.3563145828
862	0.3560453033
863	0.3559880066
864	0.3558940125
865	0.3556734085
866	0.3553777695
867	0.3552219772
868	0.355019989
869	0.354960556
870	0.3546872711
871	0.3545633698
872	0.3544373703
873	0.3542576599
874	0.3540100479
875	0.3538019562
876	0.3537119293
877	0.3535894775
878	0.3534406281
879	0.3533366394
880	0.35318367
881	0.3530523682
882	0.3529554749
883	0.352659874
884	0.3524713898
885	0.3524104691
886	0.352351532
887	0.352028389
888	0.3518971252
889	0.3517353058
890	0.3516724396
891	0.3515571213
892	0.3513438416
893	0.3513090515
894	0.3510956192
895	0.3508732224
896	0.3507805634
897	0.3507233429
898	0.350639801
899	0.3506071472
900	0.3504532242
901	0.3503863907
902	0.3500182343
903	0.3496750641
904	0.3495848846
905	0.3494397736
906	0.3493354034
907	0.3491588974
908	0.3488973618
909	0.348804245
910	0.3485554504
911	0.3484418869
912	0.3480541229
913	0.3477986908
914	0.3476837921
915	0.3475310516
916	0.3473445892
917	0.3472434235
918	0.3470991516
919	0.346966095
920	0.346751709
921	0.3463960648
922	0.3461564636
923	0.3459441757
924	0.3456850433
925	0.3456229782
926	0.3453727722
927	0.3451657104
928	0.3450260925
929	0.3448155975
930	0.3447253418
931	0.3445479584
932	0.3443559647
933	0.344098587
934	0.3440270996
935	0.3438900757
936	0.3436307144
937	0.3433981323
938	0.34330513
939	0.3432213593
940	0.3431539154
941	0.3430221558
942	0.3429533005
943	0.3428436279
944	0.3425867844
945	0.3425035858
946	0.3424464798
947	0.3422322845
948	0.3420211029
949	0.341939621
950	0.3418074799
951	0.3415747833
952	0.3413638306
953	0.3412952423
954	0.3412011719
955	0.3410330582
956	0.34085495
957	0.3406785583
958	0.3405986023
959	0.340540657
960	0.3403440094
961	0.340113945
962	0.3400113678
963	0.3398667145
964	0.339670105
965	0.3396030426
966	0.3395185471
967	0.3394501877
968	0.3393153
969	0.3392043686
970	0.3390471268
971	0.338975296
972	0.3388193893
973	0.3386672974
974	0.3384909058
975	0.338457222
976	0.3383679199
977	0.3381221008
978	0.3379070282
979	0.337805481
980	0.3376142883
981	0.3374850464
982	0.3371929169
983	0.3371022797
984	0.3370285797
985	0.3368546677
986	0.3366316223
987	0.3364967346
988	0.3361824036
989	0.336042099
990	0.3358153534
991	0.335766983
992	0.3356326294
993	0.3354447556
994	0.3353272247
995	0.335054245
996	0.3349782944
997	0.3348497772
998	0.3347319794
999	0.3346474838
